iter	Passed	Remaining
0	13235	13222348
1	23316	11635079
2	35253	11715813
3	45897	1142843944	58476	11636812
5	69515	11516480
6	82398	11688840
7	94623	11733275
8	104604	1151807899	113505	11237080110	122992	11058181111	133773	11014016112	143283	10878493113	153304	10797051114	164090	10775308115	174050	10704128
16	183767	10626085
17	195591	10670606
18	205105	10589921
19	214988	10534414220	225709	10522341
21	233974	10401209
22	244465	10384481
23	254385	10345003
24	263370	10271452
25	271749	10126	27226	279471	1027	282427	288209	128	2934228	300461	29	30332929	30984030	312830	30	3187231	320931	31	3285132	330532	337734	933	340933	33	3467034	349934	34	3561435	360435	365640	936	372036	378405	937	383937	389043	938	392538	399118	939	400639	410635	940	411540	420778	9842111
41	431806	9849294
42	441171	9818630
43	451591	9811845
44	461885	9802243
45	471496	9778421
46	481367	9760496
47	488126	9681183
48	497333	9652332
49	508541	9662288
50	518020	9639250
51	529778	9658268
52	540469	9657061
53	550064	9636308
54	558271	9592121
55	566086	9542600
56	572638	9473657
57	57	582310	9457558	58	591393	9432259	59	600211	9403360	60	609704	9385461	61	618851	9362662	62	628773	9351763	63	638274	9334764	64	648068	9322265	6566	655071	91266	6667	664792	91167	6668	673976	90968	6769	683687	90869	6970	694704	90870	7071	704700	90871	7172	714588	90772	7273	724463	90673	7274	735030	90674	7375	745137	90575	7476	753531	90376	7577	762953	90177	7678	772017	90078	7779	781190	8983685
80	791374	8978681
81	800622	8963066
82	811845	8969429
83	821948	8963156
84	831445	8950270
85	841017	8938254
86	851640	8937334
87	862418	8937796
88	872926	8935237
89	884490	8943178
90	892924	89190	8991	902027	89091	9092	912205	88992	9193	922137	88893	9294	932081	88794	9395	940834	8859520
96	950684	8850190
97	961211	8847068
98	970896	8836142
99	980620	8825584
100	991984	8829641
101	1001710	8818982
102	1011513	8809003
103	1021603	8801510
104	1021815	8709760
105	1032400	8707230
106	1041860	8695155
107	1050575	8676974
108	1060620	8669844
109	1070099	8658077
110	1080830	8656381
111	1090483	8645973
112	1100689	8639924
113	1110121	8627787
114	1119961	8618836
115	1129292	8605987
116	1138634	8593286
117	1148277	8582888
118	1157902	8572371
119	1167426	8561131
120	1178578	8561738
121	1188433	8552825
122	1197282	8536718
123	1206061	8520238
124	1214960	8504725
125	1223506	8486859
126	1233158	8476750
127	1242030	8461332
128	1252826	8459004
129	1262206	8447075
130	1272023	8438078
131	1281360	8425913
132	1291189	8417001
133	1301689	8412413
134	1311769	8405044
135	1322097	8399204
136	1332512	8393857
137	1341775	8381235
138	1352383	8376993
139	1362072	8367019
140	1372305	8360360
141	1382636	8354243
142	1391576	8339729
143	1400136	8323035
144	1409356	8310344
145	1418835	8299215
146	1429573	8295417
147	1438756	8282571
148	1448093	8270656
149	1457515	8259252
150	1465912	8242116
151	1476236	8235844
152	1486039	8226639
153	1496063	8218636
154	1505432	8207032
155	1516453	8204402
156	1527524	8201930
157	1536364	8187462
158	1546855	8181795
159	1557769	8178287
160	1568069	8171494
161	1578566	8165669
162	1588066	8154673
163	1597969	8145746
164	1606352	8129118
165	1615532	8116589
